accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
NC_039477.1	7567	7549	27736	534.95105	81.25	Norovirus GII, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	Z22KKG.p1850	45112496
NC_039475.1	7556	3699	305	5.9647584	0.894769	Norovirus GII.17, complete genome	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17	Z22KKG.p1850	45112496
KT280503.1	7332	1218	48	0.9076859	0.145118	Enterovirus D68 isolate 2011-21186, complete genome	42789	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus D	enterovirus D68	enterovirus D68	Z22KKG.p1850	45112496
AM749299.1	33763	33378	10253	43.850235	6.73152	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	Z22KKG.p1850	45112496
AC_000017.1	36001	4498	251	1.00993	0.154548	Human adenovirus type 1, complete genome	10533	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 1	Human adenovirus 1	Z22KKG.p1850	45112496
AC_000008.1	35938	3327	204	0.82357216	0.125829	Human adenovirus 5, complete genome	28285	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 5	Human adenovirus 5	Z22KKG.p1850	45112496
JQ326209.1	35153	26377	7130	29.596834	4.49604	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	Z22KKG.p1850	45112496
NC_012564.1	5242	5097	777	21.188728	3.28569	Human bocavirus 3, complete genome	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3	Z22KKG.p1850	45112496
NC_012042.1	5196	2988	355	9.781807	1.51448	Human bocavirus 2c PK isolate PK-5510, complete genome	1511882	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2c PK	Human bocavirus 2c PK	Z22KKG.p1850	45112496
NC_045512.2	29903	1673	87	0.42180622	0.0644923	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	Z22KKG.p1850	45112496
KY316160.1	34169	34169	177837	750.9904	115.37	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	Z22KKG.p1850	45112496
AB010145.1	8251	1052	51	0.91396123	0.137015	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1	Z22KKG.p1850	45112496
AB186897.1	2525	1435	78	4.7292633	0.684757	Human picobirnavirus RNA segment 1 genomic RNA, complete sequence	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus	Z22KKG.p1850	45112496
AB308374.1	6673	4920	1226	26.738924	4.07261	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain	Z22KKG.p1850	45112496
AB623037.2	7442	6160	545	10.684723	1.62334	Sapovirus Hu/OH08021/2008/JP genomic RNA, complete genome	1003429	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/OH08021/2008/JP	Sapovirus Hu/OH08021/2008/JP	Z22KKG.p1850	45112496
AF260508.1	6759	1779	107	2.2673626	0.350917	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8	Z22KKG.p1850	45112496
AF368033.1	3854	1367	120	4.37122	0.690196	Ndelle virus segment L1, complete sequence	179877	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 4 Ndelle	Mammalian orthoreovirus 4 Ndelle	Z22KKG.p1850	45112496
AF368034.1	2203	2047	475	31.476864	4.7795	Ndelle virus segment M2, complete sequence	179877	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 4 Ndelle	Mammalian orthoreovirus 4 Ndelle	Z22KKG.p1850	45112496
AY386330.1	5596	4988	816	20.806463	3.23233	B19 virus isolate J35, complete genome	10798	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Erythroparvovirus	Primate erythroparvovirus 1	Human parvovirus B19	Human parvovirus B19	Z22KKG.p1850	45112496
