accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
NC_039477.1	7567	3749	568	10.738978	1.41271	Norovirus GII, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	ZW2Y6L.p1831	53133990
NC_039475.1	7556	2588	196	3.5322711	0.488193	Norovirus GII.17, complete genome	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17	ZW2Y6L.p1831	53133990
NC_039476.1	7536	3892	731	13.531547	1.82559	Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ, complete genome	490039	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.2	Norovirus GII.2	ZW2Y6L.p1831	53133990
JQ326209.1	35153	1734	137	0.61660427	0.0733476	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	ZW2Y6L.p1831	53133990
NC_012564.1	5242	1830	104	2.8008642	0.373391	Human bocavirus 3, complete genome	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3	ZW2Y6L.p1831	53133990
KY316160.1	34169	27528	4824	20.103472	2.65707	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	ZW2Y6L.p1831	53133990
AB186897.1	2525	2239	836	47.894737	6.23121	Human picobirnavirus RNA segment 1 genomic RNA, complete sequence	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus	ZW2Y6L.p1831	53133990
AB308374.1	6673	3795	8479	182.47095	23.9139	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain	ZW2Y6L.p1831	53133990
AF092924.1	8832	1857	68	1.0714121	0.144903	Sacbrood virus complete genome	89463	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Sacbrood virus	unclassified Sacbrood virus subspecies/strain	unclassified Sacbrood virus strain	ZW2Y6L.p1831	53133990
AF183905.1	8550	2215	147	2.4997618	0.323578	Black queen cell virus nonstructural polyprotein (orf1) and structural polyprotein (orf2) genes, complete cds	92395	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	Black queen cell virus	unclassified Black queen cell virus subspecies/strain	unclassified Black queen cell virus strain	ZW2Y6L.p1831	53133990
AF260508.1	6759	3764	17730	378.21576	49.3689	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8	ZW2Y6L.p1831	53133990
AF271090.1	1062	787	56	8.824561	0.99241	Canine rotavirus RV52/96 outer capsid protein mRNA, complete cds	560626	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Canine rotavirus RV52/96	Canine rotavirus RV52/96	ZW2Y6L.p1831	53133990
AF332135.1	1196	1176	938	121.946465	14.7604	Orthoreovirus 3 Dearing-derived E64-adapted 1 (D-EA1) sigma 3 gene, complete cds	10886	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 3 Dearing	Mammalian orthoreovirus 3 Dearing	ZW2Y6L.p1831	53133990
AF368034.1	2203	1183	317	21.667316	2.70815	Ndelle virus segment M2, complete sequence	179877	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian orthoreovirus 4 Ndelle	Mammalian orthoreovirus 4 Ndelle	ZW2Y6L.p1831	53133990
