accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
NC_044854.1	7693	1600	122	2.1527243	0.675791	Norovirus GI strain Hu/JP/2000/GI.6[PNA1]/WUG1, complete genome	122928	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GI	Norovirus GI	UK62U8.p1716	23466672
NC_039477.1	7567	7372	4732	86.71026	26.6483	Norovirus GII, complete genome	122929	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII	Norovirus GII	UK62U8.p1716	23466672
NC_039475.1	7556	1176	38	0.73332435	0.214309	Norovirus GII.17, complete genome	552592	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.17	Norovirus GII.17	UK62U8.p1716	23466672
NC_039476.1	7536	7006	1162	20.968184	6.57073	Norovirus GII.2 strain Env/CHN/2016/GII.P16-GII.2/BJSMQ, complete genome	490039	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GII.2	Norovirus GII.2	UK62U8.p1716	23466672
KX868289.2	33676	6070	286	1.1392949	0.361905	Human adenovirus 12 isolate GyK010, complete genome	28282	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 12	Human adenovirus 12	UK62U8.p1716	23466672
AM749299.1	33763	29626	3342	13.2766485	4.21807	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	UK62U8.p1716	23466672
KX384958.1	35250	2188	96	0.38293448	0.116054	Human adenovirus B3 strain T382/Ft Jackson South Carolina USA/2002, complete genome	45659	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus B3	Human adenovirus B3	UK62U8.p1716	23466672
JQ326209.1	35153	13427	1187	4.6416306	1.43892	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	UK62U8.p1716	23466672
AB448776.1	35215	12944	948	3.624583	1.14717	Human adenovirus 37 genomic DNA, complete genome, isolate: 1991	52275	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D37	Human adenovirus D37	UK62U8.p1716	23466672
NC_012564.1	5242	5046	526	13.278279	4.276	Human bocavirus 3, complete genome	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3	UK62U8.p1716	23466672
NC_012042.1	5196	2902	356	9.292112	2.91964	Human bocavirus 2c PK isolate PK-5510, complete genome	1511882	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2c PK	Human bocavirus 2c PK	UK62U8.p1716	23466672
NC_045512.2	29903	5534	362	1.6402043	0.515872	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	UK62U8.p1716	23466672
KY316160.1	34169	34169	34879	139.3218	43.4991	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	UK62U8.p1716	23466672
L19443.1	34214	6264	1861	7.3035755	2.31788	Human adenovirus F, complete genome	130309	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	unclassified Human mastadenovirus F subspecies/strain	unclassified Human mastadenovirus F strain	UK62U8.p1716	23466672
AB010145.1	8251	4114	383	6.340575	1.97807	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1	UK62U8.p1716	23466672
AB054688.1	5865	3007	166	3.9553807	1.20611	Squash mosaic virus RNA1, complete sequence	12263	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Squash mosaic virus	unclassified Squash mosaic virus subspecies/strain	unclassified Squash mosaic virus strain	UK62U8.p1716	23466672
AB186897.1	2525	2089	285	16.172632	4.80985	Human picobirnavirus RNA segment 1 genomic RNA, complete sequence	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus	UK62U8.p1716	23466672
AB220921.1	7559	1872	101	1.5913079	0.569384	Norovirus Hu/Chiba/04-1050/2005/JP genomic RNA, complete genome	336619	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/Chiba/04-1050/2005/JP	Norovirus Hu/Chiba/04-1050/2005/JP	UK62U8.p1716	23466672
AB308374.1	6673	3888	462	9.596198	2.95032	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain	UK62U8.p1716	23466672
AB623037.2	7442	2345	77	1.3429786	0.44091	Sapovirus Hu/OH08021/2008/JP genomic RNA, complete genome	1003429	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/OH08021/2008/JP	Sapovirus Hu/OH08021/2008/JP	UK62U8.p1716	23466672
AB933730.1	7509	2381	177	3.104498	1.00448	Norovirus Hu/GII.4/Ehime1/2009/JP genomic RNA, complete genome	1498724	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/GII.4/Ehime1/2009/JP	Norovirus Hu/GII.4/Ehime1/2009/JP	UK62U8.p1716	23466672
AF043303.1	4679	4626	1858	55.275116	16.9216	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	UK62U8.p1716	23466672
AF260508.1	6759	3312	655	13.539567	4.12959	Human astrovirus type 8, complete genome	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8	UK62U8.p1716	23466672
AF401755.1	2359	2304	1217	71.00951	21.9842	Human rotavirus G2 strain KO-2 VP4 gene, complete cds	73034	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G2	Rotavirus G2	UK62U8.p1716	23466672
AF495467.1	5097	1168	81	2.1293714	0.677203	Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds	329639	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Carnivore bocaparvovirus 1	Canine minute virus	Canine minute virus	UK62U8.p1716	23466672
AY646856.2	7500	2852	228	4.2540135	1.29545	Sapovirus NongKhai-24/Thailand, complete genome	300717	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus NongKhai-24/Thailand	Sapovirus NongKhai-24/Thailand	UK62U8.p1716	23466672
AY720891.1	6723	2307	352	7.0436635	2.23115	Human astrovirus type 4 strain Dresden, complete genome	35300	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 4	Human astrovirus 4	UK62U8.p1716	23466672
D14723.1	2363	2096	562	34.1324	10.1349	Rotavirus sp. FRV64 mRNA for VP4 (VP8 and VP5 region) complete cds	39010	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Feline rotavirus	Feline rotavirus frv-64	Feline rotavirus frv-64	UK62U8.p1716	23466672
DQ125333.1	7437	4126	234	4.3906956	1.34081	Sapovirus Hu/Angelholm/SW278/2004/SE polyprotein mRNA, complete cds; and unknown genes	343513	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Angelholm/SW278/2004/SE	Sapovirus Hu/Angelholm/SW278/2004/SE	UK62U8.p1716	23466672
DQ915164.2	31076	2146	77	0.34666625	0.105588	Bovine coronavirus isolate Alpaca, complete genome	404135	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Betacoronavirus 1	Bovine coronavirus isolate Alpaca	Bovine coronavirus isolate Alpaca	UK62U8.p1716	23466672
EF059918.1	750	742	31595	6439.74	1795.17	Human rotavirus G12 strain CAU 195 NSP4 gene, complete cds	215680	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G12	Rotavirus G12	UK62U8.p1716	23466672
EF059923.1	2359	2359	65865	4040.5605	1189.8	Human rotavirus G9 strain CAU 202 VP4 gene, complete cds	42567	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G9	Rotavirus G9	UK62U8.p1716	23466672
EU708890.1	3269	3066	1430	61.924335	18.641	Human rotavirus Ro1845 VP1 protein (VP1) gene, complete cds	557245	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus Ro1845	Human rotavirus Ro1845	UK62U8.p1716	23466672
EU708891.1	2653	2650	1286	67.12425	20.6563	Human rotavirus Ro1845 VP2 protein (VP2) gene, complete cds	557245	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus Ro1845	Human rotavirus Ro1845	UK62U8.p1716	23466672
EU708895.1	1007	1007	244	32.4154	10.3254	Human rotavirus Ro1845 VP7 protein (VP7) gene, complete cds	557245	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus Ro1845	Human rotavirus Ro1845	UK62U8.p1716	23466672
EU708896.1	1546	1502	456	42.344555	12.5691	Human rotavirus Ro1845 NSP1 protein (NSP1) gene, complete cds	557245	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus Ro1845	Human rotavirus Ro1845	UK62U8.p1716	23466672
EU708898.1	1025	1014	780	114.17029	32.4279	Human rotavirus Ro1845 NSP3 protein (NSP3) gene, complete cds	557245	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus Ro1845	Human rotavirus Ro1845	UK62U8.p1716	23466672
EU708899.1	704	701	426	80.220215	25.7861	Human rotavirus Ro1845 NSP4 protein (NSP4) gene, complete cds	557245	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Human rotavirus Ro1845	Human rotavirus Ro1845	UK62U8.p1716	23466672
